STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
       3379;19540601;19540630;    1;  -999;  16.64;   20.90;   12.06;-999;  29.3;  -999;   6.6;-999;    1;    78.3;   23.3;eor
       3379;19540701;19540731;    1;  -999;  15.37;   19.46;   11.91;-999;  26.9;  -999;   8.0;-999;    1;   279.6;   60.7;eor
       3379;19540801;19540831;    1;  -999;  16.30;   21.53;   12.34;-999;  30.2;  -999;   8.5;-999;    1;    99.6;   26.8;eor
       3379;19540901;19540930;    1;  -999;  14.68;   19.15;   10.79;-999;  26.8;  -999;   2.2;-999;    1;   133.9;   37.3;eor
       3379;19541001;19541031;    1;  -999;   9.87;   14.76;    6.02;-999;  23.2;  -999;   0.6;-999;    1;    62.7;   27.1;eor
       3379;19541101;19541130;    1;  -999;   4.00;    7.76;    1.02;-999;  18.2;  -999;  -7.2;-999;    1;    29.6;    7.6;eor
       3379;19541201;19541231;    1;  -999;   2.64;    5.17;    0.42;-999;  11.0;  -999;  -3.0;-999;    1;    51.4;   10.9;eor
       3379;19550101;19550131;    1;  -999;  -1.82;    1.23;   -4.79;-999;  12.1;  -999; -11.0;-999;    1;    98.4;   50.9;eor
       3379;19550201;19550228;    1;  -999;  -0.68;    2.00;   -3.36;-999;   8.8;  -999;  -9.0;-999;    1;    91.5;   20.9;eor
       3379;19550301;19550331;    1;  -999;   1.25;    5.15;   -2.34;-999;  21.7;  -999; -12.2;-999;    1;    29.5;    7.9;eor
       3379;19550401;19550430;    1;  -999;   7.71;   11.90;    3.09;-999;  26.0;  -999;  -3.0; 187.10;    1;    93.8;   20.6;eor
       3379;19550501;19550531;    1;  -999;  11.78;   17.09;    6.83;-999;  25.9;  -999;   1.4; 226.70;    1;   115.7;   18.7;eor
       3379;19550601;19550630;    1;  -999;  15.85;   20.21;   11.47;-999;  27.3;  -999;   4.6; 166.90;    1;   216.8;   86.7;eor
       3379;19550701;19550731;    1;  -999;  17.50;   21.57;   13.68;-999;  30.8;  -999;   9.2; 170.90;    1;   230.0;   43.0;eor
