STATIONS_ID;MESS_DATUM;  QN;PP_10;TT_10;TM5_10;RF_10;TD_10;eor
       3379;201810040000;    3;  966.3;   9.2;   8.6;  92.9;   8.1;eor
       3379;201810040010;    3;  966.4;   9.0;   8.2;  92.7;   7.9;eor
       3379;201810040020;    3;  966.3;   8.9;   8.3;  93.0;   7.8;eor
       3379;201810040030;    3;  966.3;   8.9;   8.2;  93.7;   7.9;eor
       3379;201810040040;    3;  966.3;   8.9;   7.9;  93.7;   7.9;eor
       3379;201810040050;    3;  966.2;   8.9;   7.4;  93.8;   8.0;eor
       3379;201810040100;    3;  966.2;   8.5;   7.1;  93.6;   7.5;eor
       3379;201810040110;    3;  966.2;   8.1;   6.7;  94.2;   7.2;eor
       3379;201810040120;    3;  966.1;   8.0;   6.5;  94.5;   7.2;eor
       3379;201810040130;    3;  966.0;   7.5;   5.7;  95.2;   6.8;eor
       3379;201810040140;    3;  965.9;   7.3;   6.1;  95.0;   6.6;eor
       3379;201810040150;    3;  966.1;   7.9;   5.9;  95.9;   7.3;eor
       3379;201810040200;    3;  966.1;   7.9;   5.7;  95.6;   7.2;eor
       3379;201810040210;    3;  966.1;   7.5;   5.7;  96.4;   7.0;eor
       3379;201810040220;    3;  966.2;   7.3;   5.5;  96.0;   6.7;eor
       3379;201810040230;    3;  966.2;   7.0;   5.7;  95.4;   6.3;eor
       3379;201810040240;    3;  966.2;   6.8;   5.3;  96.2;   6.2;eor
       3379;201810040250;    3;  966.1;   6.7;   4.9;  96.0;   6.1;eor
       3379;201810040300;    3;  966.0;   6.6;   4.8;  95.6;   6.0;eor
       3379;201810040310;    3;  966.0;   6.4;   5.0;  95.1;   5.7;eor
       3379;201810040320;    3;  966.0;   6.2;   4.9;  96.1;   5.6;eor
       3379;201810040330;    3;  965.9;   6.2;   4.9;  96.3;   5.7;eor
       3379;201810040340;    3;  965.9;   6.1;   4.7;  95.3;   5.4;eor
       3379;201810040350;    3;  965.8;   6.1;   4.4;  97.2;   5.7;eor
       3379;201810040400;    3;  965.8;   6.1;   4.4;  97.1;   5.7;eor
       3379;201810040410;    3;  965.8;   6.3;   4.4;  96.6;   5.8;eor
       3379;201810040420;    3;  965.7;   6.1;   4.3;  95.4;   5.4;eor
       3379;201810040430;    3;  965.7;   6.0;   4.6;  95.1;   5.3;eor
       3379;201810040440;    3;  965.7;   6.1;   4.1;  96.0;   5.5;eor
       3379;201810040450;    3;  965.8;   6.0;   4.4;  95.6;   5.4;eor
       3379;201810040500;    3;  965.8;   5.8;   4.3;  95.4;   5.1;eor
       3379;201810040510;    3;  965.8;   5.9;   4.1;  95.9;   5.3;eor
       3379;201810040520;    3;  965.9;   5.9;   4.4;  94.9;   5.2;eor
       3379;201810040530;    3;  966.0;   6.0;   4.1;  95.2;   5.3;eor
       3379;201810040540;    3;  966.0;   5.9;   4.6;  94.8;   5.1;eor
       3379;201810040550;    3;  966.0;   6.1;   4.8;  95.0;   5.4;eor
       3379;201810040600;    3;  966.0;   6.3;   5.1;  94.8;   5.5;eor
       3379;201810040610;    3;  966.0;   6.7;   4.7;  95.6;   6.1;eor
       3379;201810040620;    3;  966.0;   7.2;   5.6;  95.4;   6.5;eor
       3379;201810040630;    3;  966.0;   7.5;   6.0;  95.2;   6.8;eor
       3379;201810040640;    3;  966.1;   8.0;   6.1;  95.6;   7.3;eor
       3379;201810040650;    3;  966.2;   8.6;   6.6;  95.3;   7.9;eor
       3379;201810040700;    3;  966.2;   8.9;   7.0;  94.6;   8.1;eor
       3379;201810040710;    3;  966.2;   9.2;   7.3;  93.9;   8.3;eor
       3379;201810040720;    3;  966.2;   9.8;   7.9;  91.2;   8.4;eor
       3379;201810040730;    3;  966.3;  10.1;   8.3;  89.3;   8.4;eor
       3379;201810040740;    3;  966.3;  10.4;   8.7;  88.2;   8.5;eor
       3379;201810040750;    3;  966.4;  10.9;   9.2;  85.9;   8.6;eor
       3379;201810040800;    3;  966.4;  11.4;   9.2;  82.3;   8.5;eor
       3379;201810040810;    3;  966.4;  11.4;   9.6;  80.7;   8.2;eor
       3379;201810040820;    3;  966.4;  12.1;  11.6;  80.2;   8.8;eor
       3379;201810040830;    3;  966.5;  12.4;  13.0;  78.7;   8.8;eor
       3379;201810040840;    3;  966.4;  12.9;  13.0;  72.3;   8.0;eor
       3379;201810040850;    3;  966.4;  13.3;  16.4;  71.4;   8.2;eor
       3379;201810040900;    3;  966.4;  12.3;  16.9;  74.2;   7.8;eor
       3379;201810040910;    3;  966.4;  13.1;  19.0;  69.8;   7.7;eor
       3379;201810040920;    3;  966.4;  12.8;  14.9;  70.9;   7.7;eor
       3379;201810040930;    3;  966.3;  13.1;  13.9;  72.0;   8.2;eor
       3379;201810040940;    3;  966.3;  13.2;  14.6;  71.9;   8.2;eor
       3379;201810040950;    3;  966.3;  13.0;  13.4;  71.4;   8.0;eor
       3379;201810041000;    3;  966.2;  13.8;  19.2;  68.6;   8.1;eor
       3379;201810041010;    3;  966.1;  13.9;  15.8;  68.1;   8.1;eor
       3379;201810041020;    3;  966.0;  13.7;  15.1;  68.5;   8.0;eor
       3379;201810041030;    3;  966.0;  14.3;  18.0;  67.9;   8.5;eor
       3379;201810041040;    3;  966.0;  14.1;  18.7;  65.0;   7.6;eor
       3379;201810041050;    3;  965.9;  14.5;  20.3;  64.9;   8.0;eor
       3379;201810041100;    3;  965.9;  14.5;  19.6;  63.3;   7.6;eor
       3379;201810041110;    3;  965.8;  14.5;  18.6;  65.1;   8.0;eor
       3379;201810041120;    3;  965.6;  15.0;  20.2;  63.3;   8.1;eor
       3379;201810041130;    3;  965.5;  15.1;  17.7;  61.9;   7.9;eor
       3379;201810041140;    3;  965.4;  15.5;  20.4;  60.0;   7.8;eor
       3379;201810041150;    3;  965.2;  15.4;  21.3;  59.5;   7.6;eor
       3379;201810041200;    3;  965.1;  15.8;  19.9;  58.8;   7.8;eor
       3379;201810041210;    3;  965.0;  15.5;  21.6;  58.5;   7.4;eor
       3379;201810041220;    3;  964.9;  16.4;  21.6;  58.1;   8.1;eor
       3379;201810041230;    3;  964.9;  16.2;  22.4;  56.8;   7.6;eor
       3379;201810041240;    3;  964.8;  15.9;  20.9;  57.5;   7.5;eor
       3379;201810041250;    3;  964.8;  16.7;  21.7;  55.8;   7.8;eor
       3379;201810041300;    3;  964.8;  16.8;  20.7;  54.7;   7.6;eor
       3379;201810041310;    3;  964.7;  16.7;  21.7;  56.2;   7.9;eor
       3379;201810041320;    3;  964.6;  17.1;  21.3;  53.7;   7.6;eor
       3379;201810041330;    3;  964.5;  16.9;  21.5;  54.5;   7.7;eor
       3379;201810041340;    3;  964.4;  17.0;  22.3;  55.5;   8.0;eor
       3379;201810041350;    3;  964.4;  16.8;  21.5;  56.1;   8.0;eor
       3379;201810041400;    3;  964.4;  16.3;  19.7;  54.9;   7.2;eor
       3379;201810041410;    3;  964.3;  16.7;  21.0;  55.5;   7.8;eor
       3379;201810041420;    3;  964.3;  16.8;  21.4;  56.3;   8.1;eor
       3379;201810041430;    3;  964.2;  16.6;  21.5;  55.4;   7.6;eor
       3379;201810041440;    3;  964.1;  16.4;  18.5;  55.9;   7.6;eor
       3379;201810041450;    3;  964.0;  16.6;  16.3;  56.0;   7.8;eor
       3379;201810041500;    3;  964.0;  16.3;  15.5;  55.5;   7.4;eor
       3379;201810041510;    3;  963.9;  16.0;  15.0;  55.4;   7.1;eor
       3379;201810041520;    3;  963.9;  15.9;  14.5;  53.9;   6.6;eor
       3379;201810041530;    3;  963.8;  15.7;  14.4;  53.3;   6.2;eor
       3379;201810041540;    3;  963.8;  15.5;  13.9;  55.3;   6.6;eor
       3379;201810041550;    3;  963.8;  15.3;  13.5;  54.2;   6.1;eor
       3379;201810041600;    3;  963.8;  15.0;  12.9;  56.0;   6.3;eor
       3379;201810041610;    3;  963.7;  14.8;  12.7;  57.6;   6.5;eor
